Year;Month;Ano_Month
1837;11;-0.969
1837;12;-0.875
1838;1;-3.016
1838;2;-1.261
1838;3;-1.127
1838;4;-0.358
1838;5;-1.061
1838;6;-0.046
1838;7;0.472
1838;8;0.446
1838;9;-0.171
1838;10;0.079
1838;11;-0.233
1838;12;-0.688
1839;1;-0.015
1839;2;0.625
1839;3;-2.398
1839;4;-0.207
1839;5;-0.711
1839;6;-0.402
1839;7;0.350
1839;8;0.660
1839;9;-0.624
1839;10;-0.742
1839;11;-1.737
1839;12;-2.108
1840;1;0.532
1840;2;-0.602
1840;3;-0.863
1840;4;-0.334
1840;5;0.054
1840;6;0.135
1840;7;0.554
1840;8;-0.327
1840;9;-0.535
1840;10;-1.266
1840;11;-1.540
1840;12;-1.295
1841;1;-1.755
1841;2;-0.713
1841;3;-1.747
1841;4;-1.306
1841;5;-0.360
1841;6;-0.203
1841;7;0.504
1841;8;0.096
1841;9;-0.710
1841;10;-0.066
1841;11;-1.256
1841;12;-0.905
1842;1;-0.669
1842;2;-0.767
1842;3;0.385
1842;4;0.079
1842;5;-0.418
1842;6;-0.564
1842;7;-0.349
1842;8;-0.257
1842;9;-0.541
1842;10;-0.236
1842;11;-0.841
1842;12;0.406
1843;1;0.726
1843;2;0.993
1843;3;-0.181
1843;4;-0.214
1843;5;-0.824
1843;6;-0.637
1843;7;-0.106
1843;8;-0.253
1843;9;-0.309
1843;10;0.163
1843;11;-0.691
1843;12;0.505
1844;1;-0.540
1844;2;-1.076
1844;3;-0.331
1844;4;-0.725
1844;5;-0.908
1844;6;-0.365
1844;7;-0.322
1844;8;-0.656
1844;9;-0.948
1844;10;-0.129
1844;11;-1.406
1844;12;-1.445
1845;1;0.205
1845;2;-1.453
1845;3;-0.532
1845;4;0.127
1845;5;-0.458
1845;6;-0.472
1845;7;0.227
1845;8;-0.044
1845;9;-0.406
1845;10;-1.030
1845;11;-0.555
1845;12;-1.512
1846;1;0.891
1846;2;0.278
1846;3;1.162
1846;4;-0.622
1846;5;-0.234
1846;6;0.106
1846;7;0.683
1846;8;0.458
1846;9;0.046
1846;10;-0.612
1846;11;-0.516
1846;12;0.297
1847;1;0.325
1847;2;0.493
1847;3;-1.127
1847;4;-0.082
1847;5;-0.488
1847;6;-0.534
1847;7;-0.058
1847;8;-0.327
1847;9;-0.109
1847;10;-0.165
1847;11;-0.050
1847;12;-1.353
1848;1;-1.645
1848;2;0.727
1848;3;-0.432
1848;4;-0.174
1848;5;-0.611
1848;6;-0.299
1848;7;0.053
1848;8;-0.423
1848;9;-0.777
1848;10;-0.185
1848;11;-0.537
1848;12;-1.337
1849;1;-0.430
1849;2;-0.439
1849;3;0.170
1849;4;-1.243
1849;5;-1.006
1849;6;-0.488
1849;7;0.033
1849;8;-0.191
1849;9;-0.655
1849;10;-0.019
1849;11;0.062
1849;12;-1.385
1850;1;-1.685
1850;2;0.066
1850;3;-0.383
1850;4;-0.965
1850;5;-1.202
1850;6;-0.400
1850;7;0.078
1850;8;0.276
1850;9;-0.355
1850;10;-0.932
1850;11;-1.192
1850;12;-0.894
1851;1;0.202
1851;2;-0.481
1851;3;-1.003
1851;4;-0.802
1851;5;-0.102
1851;6;-0.102
1851;7;0.245
1851;8;0.104
1851;9;-0.095
1851;10;0.248
1851;11;-0.861
1851;12;-0.214
1852;1;0.117
1852;2;-0.458
1852;3;-1.239
1852;4;-0.427
1852;5;0.258
1852;6;-0.166
1852;7;0.315
1852;8;-0.242
1852;9;-0.090
1852;10;0.194
1852;11;-1.191
1852;12;0.537
1853;1;-0.413
1853;2;-0.643
1853;3;-0.988
1853;4;-0.521
1853;5;-0.102
1853;6;0.091
1853;7;0.516
1853;8;0.462
1853;9;-0.026
1853;10;-0.175
1853;11;-0.992
1853;12;-0.304
1854;1;-0.999
1854;2;-0.868
1854;3;-0.050
1854;4;-0.116
1854;5;0.086
1854;6;-0.485
1854;7;0.602
1854;8;0.431
1854;9;0.072
1854;10;1.152
1854;11;0.230
1854;12;0.249
1855;1;0.522
1855;2;0.243
1855;3;-0.326
1855;4;0.627
1855;5;0.281
1855;6;-0.229
1855;7;-0.274
1855;8;-0.050
1855;9;-0.462
1855;10;-0.157
1855;11;-0.356
1855;12;-1.003
1856;1;0.795
1856;2;-0.459
1856;3;-0.365
1856;4;0.103
1856;5;-0.243
1856;6;0.370
1856;7;0.151
1856;8;-0.431
